Date,Hour,Month,Gender,Age,Nationality,Day
2024-01-01,17,1,M,33,Local,Monday
2024-01-01,13,1,M,27,Local,Monday
2024-01-01,11,1,F,30,Local,Monday
2024-01-01,14,1,F,56,Local,Monday
2024-01-01,17,1,M,20,Foreigner,Monday
2024-01-01,13,1,M,24,Foreigner,Monday
2024-01-01,12,1,F,63,Foreigner,Monday
2024-01-01,13,1,M,43,Local,Monday
2024-01-01,10,1,F,34,Local,Monday
2024-01-01,12,1,M,25,Local,Monday
2024-01-01,12,1,M,58,Local,Monday
2024-01-01,15,1,M,32,Local,Monday
2024-01-01,10,1,M,25,Local,Monday
2024-01-01,10,1,M,22,Local,Monday
2024-01-01,16,1,M,33,Local,Monday
2024-01-01,13,1,M,70,Local,Monday
2024-01-01,17,1,F,70,Foreigner,Monday
2024-01-01,11,1,M,26,Foreigner,Monday
2024-01-01,13,1,F,26,Local,Monday
2024-01-01,16,1,F,66,Foreigner,Monday
2024-01-01,14,1,F,32,Foreigner,Monday
2024-01-01,14,1,F,46,Foreigner,Monday
2024-01-01,17,1,M,34,Local,Monday
2024-01-01,15,1,M,47,Local,Monday
2024-01-01,10,1,F,53,Local,Monday
2024-01-01,15,1,M,65,Local,Monday
2024-01-01,11,1,F,41,Foreigner,Monday
2024-01-01,15,1,F,28,Foreigner,Monday
2024-01-01,10,1,M,24,Local,Monday
2024-01-01,15,1,F,20,Foreigner,Monday
2024-01-01,18,1,F,68,Foreigner,Monday
2024-01-01,18,1,F,42,Foreigner,Monday
2024-01-01,18,1,M,64,Local,Monday
2024-01-01,10,1,F,53,Local,Monday
2024-01-01,12,1,F,20,Local,Monday
2024-01-01,14,1,F,37,Foreigner,Monday
2024-01-01,15,1,F,53,Local,Monday
2024-01-01,10,1,F,42,Local,Monday
2024-01-01,12,1,M,65,Local,Monday
2024-01-01,17,1,F,37,Local,Monday
2024-01-01,10,1,F,53,Local,Monday
2024-01-01,18,1,F,54,Local,Monday
2024-01-01,18,1,F,51,Local,Monday
2024-01-01,14,1,M,23,Local,Monday
2024-01-01,18,1,F,41,Local,Monday
2024-01-01,16,1,F,57,Foreigner,Monday
2024-01-01,13,1,M,53,Local,Monday
2024-01-01,12,1,M,67,Local,Monday
2024-01-01,12,1,F,66,Foreigner,Monday
2024-01-01,10,1,M,29,Local,Monday
2024-01-01,15,1,M,46,Local,Monday
2024-01-01,10,1,M,40,Local,Monday
2024-01-01,15,1,F,58,Foreigner,Monday
2024-01-01,17,1,F,50,Local,Monday
2024-01-01,17,1,F,44,Local,Monday
2024-01-01,13,1,M,45,Foreigner,Monday
2024-01-01,14,1,M,30,Foreigner,Monday
2024-01-01,11,1,F,47,Local,Monday
2024-01-01,13,1,M,21,Local,Monday
2024-01-01,14,1,M,59,Local,Monday
2024-01-01,12,1,M,41,Local,Monday
2024-01-01,10,1,F,23,Foreigner,Monday
2024-01-01,16,1,M,45,Local,Monday
2024-01-01,12,1,M,61,Local,Monday
2024-01-01,17,1,M,21,Foreigner,Monday
2024-01-01,17,1,M,57,Foreigner,Monday
2024-01-01,13,1,M,66,Local,Monday
2024-01-01,16,1,M,49,Local,Monday
2024-01-01,10,1,F,23,Local,Monday
2024-01-01,15,1,F,48,Local,Monday
2024-01-01,11,1,F,45,Local,Monday
2024-01-01,11,1,M,64,Local,Monday
2024-01-01,18,1,M,28,Foreigner,Monday
2024-01-01,12,1,F,37,Local,Monday
2024-01-01,16,1,F,28,Local,Monday
2024-01-01,15,1,F,20,Local,Monday
2024-01-01,15,1,M,49,Foreigner,Monday
2024-01-01,15,1,F,24,Local,Monday
2024-01-01,12,1,F,42,Foreigner,Monday
2024-01-01,10,1,F,55,Local,Monday
2024-01-01,14,1,F,18,Local,Monday
2024-01-01,10,1,M,34,Foreigner,Monday
2024-01-01,18,1,F,30,Local,Monday
2024-01-01,15,1,F,35,Foreigner,Monday
2024-01-01,17,1,M,26,Local,Monday
2024-01-01,17,1,F,36,Local,Monday
2024-01-01,11,1,F,24,Local,Monday
2024-01-01,17,1,M,28,Foreigner,Monday
2024-01-01,12,1,M,64,Local,Monday
2024-01-01,12,1,F,70,Foreigner,Monday
2024-01-01,18,1,F,59,Local,Monday
2024-01-01,12,1,M,20,Local,Monday
2024-01-01,16,1,F,23,Local,Monday
2024-01-01,18,1,F,47,Local,Monday
2024-01-01,11,1,F,65,Local,Monday
2024-01-01,15,1,F,37,Foreigner,Monday
2024-01-01,18,1,M,46,Local,Monday
2024-01-01,13,1,M,47,Local,Monday
2024-01-01,18,1,M,47,Local,Monday
2024-01-01,16,1,F,31,Local,Monday
2024-01-01,15,1,M,50,Foreigner,Monday
2024-01-01,16,1,M,44,Local,Monday
2024-01-01,12,1,M,19,Local,Monday
2024-01-01,15,1,M,43,Local,Monday
2024-01-01,12,1,M,44,Local,Monday
2024-01-01,15,1,F,18,Local,Monday
2024-01-01,16,1,F,21,Local,Monday
2024-01-01,13,1,F,20,Foreigner,Monday
2024-01-01,11,1,M,67,Local,Monday
2024-01-01,18,1,M,25,Local,Monday
2024-01-01,16,1,F,62,Foreigner,Monday
2024-01-01,16,1,F,20,Foreigner,Monday
2024-01-01,10,1,F,30,Foreigner,Monday
2024-01-01,10,1,M,47,Foreigner,Monday
2024-01-01,17,1,F,65,Local,Monday
2024-01-01,14,1,M,69,Local,Monday
2024-01-01,12,1,F,34,Local,Monday
2024-01-01,17,1,F,70,Foreigner,Monday
2024-01-01,18,1,F,68,Local,Monday
2024-01-01,11,1,M,37,Local,Monday
2024-01-01,15,1,F,28,Foreigner,Monday
2024-01-01,11,1,M,32,Local,Monday
2024-01-01,17,1,M,30,Local,Monday
2024-01-01,12,1,M,22,Local,Monday
2024-01-01,12,1,F,59,Local,Monday
2024-01-01,14,1,M,58,Foreigner,Monday
2024-01-01,11,1,F,26,Local,Monday
2024-01-01,11,1,M,48,Foreigner,Monday
2024-01-01,13,1,M,28,Local,Monday
2024-01-01,10,1,F,25,Local,Monday
2024-01-01,10,1,F,27,Local,Monday
2024-01-01,10,1,M,56,Local,Monday
2024-01-01,15,1,F,70,Foreigner,Monday
2024-01-01,18,1,F,39,Local,Monday
2024-01-01,13,1,M,48,Local,Monday
2024-01-01,15,1,F,37,Local,Monday
2024-01-01,18,1,M,61,Local,Monday
2024-01-01,12,1,F,56,Local,Monday
2024-01-01,13,1,M,69,Local,Monday
2024-01-01,10,1,F,22,Local,Monday
2024-01-01,15,1,M,62,Foreigner,Monday
2024-01-01,13,1,F,55,Local,Monday
2024-01-01,14,1,M,68,Local,Monday
2024-01-01,15,1,F,41,Foreigner,Monday
2024-01-01,18,1,M,66,Local,Monday
2024-01-01,10,1,M,46,Local,Monday
2024-01-01,12,1,M,70,Local,Monday
2024-01-01,10,1,M,34,Local,Monday
2024-01-01,18,1,F,38,Foreigner,Monday
2024-01-01,13,1,F,59,Foreigner,Monday
2024-01-01,16,1,M,40,Local,Monday
2024-01-01,14,1,F,26,Local,Monday
2024-01-01,13,1,F,20,Foreigner,Monday
2024-01-01,12,1,F,60,Local,Monday
2024-01-01,17,1,M,58,Local,Monday
2024-01-01,12,1,F,56,Local,Monday
2024-01-01,18,1,F,31,Foreigner,Monday
2024-01-01,10,1,M,32,Local,Monday
2024-01-01,15,1,M,40,Local,Monday
2024-01-01,18,1,M,40,Local,Monday
2024-01-01,11,1,F,56,Local,Monday
2024-01-01,12,1,F,36,Foreigner,Monday
2024-01-01,18,1,F,50,Local,Monday
2024-01-01,12,1,M,45,Local,Monday
2024-01-01,14,1,F,67,Local,Monday
2024-01-01,13,1,F,65,Local,Monday
2024-01-01,18,1,M,30,Local,Monday
2024-01-01,17,1,F,33,Local,Monday
2024-01-01,11,1,F,65,Local,Monday
2024-01-01,13,1,F,66,Foreigner,Monday
2024-01-01,18,1,M,39,Foreigner,Monday
2024-01-01,18,1,F,47,Local,Monday
2024-01-01,13,1,M,30,Local,Monday
2024-01-01,17,1,F,26,Local,Monday
2024-01-01,14,1,M,26,Local,Monday
2024-01-01,18,1,F,19,Local,Monday
2024-01-01,16,1,M,18,Foreigner,Monday
2024-01-01,10,1,F,63,Local,Monday
2024-01-01,13,1,M,34,Local,Monday
2024-01-01,11,1,M,62,Foreigner,Monday
2024-01-01,16,1,M,39,Foreigner,Monday
2024-01-01,16,1,M,42,Local,Monday
2024-01-01,10,1,M,25,Foreigner,Monday
2024-01-01,14,1,F,51,Foreigner,Monday
2024-01-01,11,1,F,30,Foreigner,Monday
2024-01-01,13,1,F,41,Foreigner,Monday
2024-01-01,10,1,F,38,Local,Monday
2024-01-01,10,1,F,59,Local,Monday
2024-01-01,15,1,M,60,Local,Monday
2024-01-01,18,1,M,46,Local,Monday
2024-01-01,12,1,M,27,Local,Monday
2024-01-01,18,1,F,20,Local,Monday
2024-01-01,11,1,M,68,Local,Monday
2024-01-01,17,1,M,24,Local,Monday
2024-01-01,17,1,F,23,Local,Monday
2024-01-01,15,1,M,67,Foreigner,Monday
2024-01-01,14,1,F,59,Local,Monday
2024-01-01,14,1,F,37,Local,Monday
2024-01-01,11,1,M,62,Local,Monday
2024-01-01,14,1,M,19,Local,Monday
2024-01-01,16,1,F,33,Local,Monday
2024-01-01,13,1,M,49,Local,Monday
2024-01-01,18,1,M,60,Local,Monday
2024-01-01,16,1,F,23,Local,Monday
2024-01-01,14,1,F,25,Foreigner,Monday
2024-01-01,10,1,M,67,Foreigner,Monday
2024-01-01,16,1,M,41,Local,Monday
2024-01-01,12,1,M,62,Local,Monday
2024-01-01,13,1,M,24,Local,Monday
2024-01-01,12,1,F,51,Foreigner,Monday
2024-01-01,16,1,M,40,Foreigner,Monday
2024-01-01,16,1,F,44,Local,Monday
2024-01-01,11,1,M,45,Local,Monday
2024-01-01,18,1,M,39,Local,Monday
2024-01-01,13,1,M,38,Local,Monday
2024-01-01,17,1,M,45,Foreigner,Monday
2024-01-01,11,1,F,50,Local,Monday
2024-01-01,10,1,M,39,Local,Monday
2024-01-01,13,1,F,27,Local,Monday
2024-01-01,14,1,F,22,Foreigner,Monday
2024-01-01,13,1,M,20,Local,Monday
2024-01-01,15,1,M,63,Local,Monday
2024-01-01,18,1,M,31,Local,Monday
2024-01-01,16,1,M,51,Foreigner,Monday
2024-01-01,18,1,F,68,Local,Monday
2024-01-01,16,1,F,56,Foreigner,Monday
2024-01-01,11,1,F,21,Local,Monday
2024-01-01,15,1,F,23,Local,Monday
2024-01-01,13,1,M,22,Local,Monday
2024-01-01,12,1,M,19,Foreigner,Monday
2024-01-01,18,1,M,53,Foreigner,Monday
2024-01-01,17,1,M,57,Local,Monday
2024-01-01,13,1,M,53,Local,Monday
2024-01-01,14,1,F,67,Foreigner,Monday
2024-01-01,11,1,M,54,Foreigner,Monday
2024-01-01,14,1,F,63,Local,Monday
2024-01-01,18,1,F,41,Local,Monday
2024-01-01,12,1,F,36,Local,Monday
2024-01-01,11,1,F,19,Local,Monday
2024-01-01,15,1,F,64,Foreigner,Monday
2024-01-01,17,1,M,28,Local,Monday
2024-01-01,18,1,M,53,Foreigner,Monday
2024-01-01,13,1,F,51,Local,Monday
2024-01-01,10,1,M,24,Local,Monday
2024-01-01,13,1,F,56,Local,Monday
2024-01-01,17,1,F,37,Local,Monday
2024-01-01,17,1,F,47,Local,Monday
2024-01-01,10,1,F,25,Foreigner,Monday
2024-01-01,16,1,F,67,Local,Monday
2024-01-01,17,1,M,33,Local,Monday
2024-01-01,13,1,F,63,Local,Monday
2024-01-01,18,1,M,69,Local,Monday
2024-01-01,10,1,M,40,Foreigner,Monday
2024-01-01,11,1,F,23,Local,Monday
2024-01-01,15,1,F,40,Local,Monday
2024-01-01,10,1,M,41,Foreigner,Monday
2024-01-01,17,1,M,27,Local,Monday
2024-01-01,13,1,F,28,Local,Monday
2024-01-01,16,1,F,45,Local,Monday
2024-01-01,13,1,M,27,Foreigner,Monday
2024-01-01,11,1,F,21,Local,Monday
2024-01-01,13,1,M,60,Foreigner,Monday
2024-01-01,12,1,M,66,Foreigner,Monday
2024-01-01,11,1,M,42,Local,Monday
2024-01-01,11,1,M,62,Local,Monday
2024-01-01,16,1,M,70,Local,Monday
2024-01-01,13,1,M,48,Local,Monday
2024-01-01,16,1,F,53,Local,Monday
2024-01-01,12,1,M,29,Local,Monday
2024-01-01,15,1,M,60,Local,Monday
2024-01-01,18,1,M,67,Local,Monday
2024-01-01,15,1,F,63,Local,Monday
2024-01-01,18,1,M,70,Local,Monday
2024-01-01,10,1,F,52,Foreigner,Monday
2024-01-01,14,1,F,70,Foreigner,Monday
2024-01-01,13,1,M,65,Local,Monday
2024-01-01,13,1,F,42,Foreigner,Monday
2024-01-01,18,1,M,64,Foreigner,Monday
2024-01-01,10,1,M,68,Local,Monday
2024-01-01,18,1,M,21,Local,Monday
2024-01-01,11,1,F,65,Local,Monday
2024-01-01,13,1,M,34,Local,Monday
2024-01-01,16,1,M,41,Local,Monday
2024-01-01,18,1,M,41,Local,Monday
2024-01-01,10,1,F,54,Local,Monday
2024-01-01,14,1,F,53,Local,Monday
2024-01-01,15,1,F,31,Local,Monday
2024-01-01,16,1,F,32,Local,Monday
2024-01-01,18,1,M,64,Local,Monday
2024-01-01,16,1,M,40,Foreigner,Monday
2024-01-01,18,1,F,25,Local,Monday
2024-01-01,12,1,M,70,Foreigner,Monday
2024-01-01,14,1,M,18,Local,Monday
2024-01-01,15,1,F,37,Foreigner,Monday
2024-01-01,18,1,F,37,Local,Monday
2024-01-01,10,1,M,25,Local,Monday
2024-01-01,11,1,M,67,Local,Monday
2024-01-01,12,1,F,54,Foreigner,Monday
2024-01-01,11,1,M,41,Foreigner,Monday
2024-01-01,12,1,M,69,Foreigner,Monday
2024-01-01,10,1,M,62,Foreigner,Monday
2024-01-01,18,1,F,50,Foreigner,Monday
2024-01-01,16,1,M,46,Foreigner,Monday
2024-01-01,15,1,F,62,Foreigner,Monday
2024-01-01,11,1,F,34,Local,Monday
2024-01-01,14,1,M,21,Local,Monday
2024-01-01,14,1,M,59,Local,Monday
2024-01-01,15,1,F,25,Local,Monday
2024-01-01,18,1,M,42,Local,Monday
2024-01-01,12,1,M,68,Foreigner,Monday
2024-01-01,15,1,M,66,Foreigner,Monday
2024-01-01,17,1,M,44,Foreigner,Monday
2024-01-01,13,1,M,45,Local,Monday
2024-01-01,16,1,F,52,Local,Monday
2024-01-01,10,1,F,25,Local,Monday
2024-01-01,12,1,M,20,Local,Monday
2024-01-01,18,1,F,19,Local,Monday
2024-01-01,15,1,M,68,Local,Monday
2024-01-01,17,1,M,30,Foreigner,Monday
2024-01-02,16,1,M,24,Local,Tuesday
2024-01-02,14,1,M,54,Local,Tuesday
2024-01-02,15,1,F,53,Foreigner,Tuesday
2024-01-02,17,1,M,58,Local,Tuesday
2024-01-02,15,1,M,38,Local,Tuesday
2024-01-02,11,1,F,60,Local,Tuesday
2024-01-02,11,1,F,32,Local,Tuesday
2024-01-02,13,1,F,56,Local,Tuesday
2024-01-02,12,1,M,30,Local,Tuesday
2024-01-02,16,1,M,46,Local,Tuesday
2024-01-02,18,1,M,69,Local,Tuesday
2024-01-02,15,1,F,59,Local,Tuesday
2024-01-02,10,1,F,28,Local,Tuesday
2024-01-02,11,1,M,25,Local,Tuesday
2024-01-02,17,1,M,42,Local,Tuesday
2024-01-02,15,1,M,48,Local,Tuesday
2024-01-02,15,1,F,28,Local,Tuesday
2024-01-02,11,1,F,35,Local,Tuesday
2024-01-02,12,1,F,31,Local,Tuesday
2024-01-02,14,1,M,20,Local,Tuesday
2024-01-02,18,1,F,56,Local,Tuesday
2024-01-02,15,1,F,54,Foreigner,Tuesday
2024-01-02,17,1,F,60,Foreigner,Tuesday
2024-01-02,15,1,F,68,Local,Tuesday
2024-01-02,15,1,F,27,Local,Tuesday
2024-01-02,11,1,M,36,Local,Tuesday
2024-01-02,10,1,F,50,Local,Tuesday
2024-01-02,15,1,F,63,Local,Tuesday
2024-01-02,17,1,M,30,Local,Tuesday
2024-01-02,11,1,F,44,Local,Tuesday
2024-01-02,16,1,F,61,Foreigner,Tuesday
2024-01-02,10,1,M,25,Local,Tuesday
2024-01-02,13,1,M,46,Local,Tuesday
2024-01-02,11,1,F,33,Foreigner,Tuesday
2024-01-02,14,1,F,53,Local,Tuesday
2024-01-02,17,1,F,30,Local,Tuesday
2024-01-02,11,1,F,42,Local,Tuesday
2024-01-02,12,1,F,29,Local,Tuesday
2024-01-02,17,1,M,46,Foreigner,Tuesday
2024-01-02,10,1,M,62,Local,Tuesday
2024-01-02,12,1,F,64,Foreigner,Tuesday
2024-01-02,12,1,M,20,Local,Tuesday
2024-01-02,15,1,F,47,Foreigner,Tuesday
2024-01-02,16,1,M,34,Foreigner,Tuesday
2024-01-02,15,1,F,44,Local,Tuesday
2024-01-02,16,1,M,47,Foreigner,Tuesday
2024-01-02,14,1,M,64,Foreigner,Tuesday
2024-01-02,13,1,M,21,Foreigner,Tuesday
2024-01-02,13,1,M,20,Foreigner,Tuesday
2024-01-02,11,1,F,50,Local,Tuesday
2024-01-02,16,1,F,46,Foreigner,Tuesday
2024-01-02,17,1,F,26,Local,Tuesday
2024-01-02,10,1,M,28,Local,Tuesday
2024-01-02,15,1,F,44,Local,Tuesday
2024-01-02,14,1,M,18,Local,Tuesday
2024-01-02,11,1,M,51,Local,Tuesday
2024-01-02,17,1,M,45,Local,Tuesday
2024-01-02,17,1,F,62,Local,Tuesday
2024-01-02,15,1,F,24,Foreigner,Tuesday
2024-01-02,10,1,M,18,Foreigner,Tuesday
2024-01-02,12,1,F,43,Local,Tuesday
2024-01-02,17,1,F,29,Local,Tuesday
2024-01-02,11,1,M,38,Local,Tuesday
2024-01-02,17,1,F,51,Local,Tuesday
2024-01-02,13,1,M,43,Foreigner,Tuesday
2024-01-02,18,1,F,45,Local,Tuesday
2024-01-02,16,1,M,64,Foreigner,Tuesday
2024-01-02,10,1,F,25,Foreigner,Tuesday
2024-01-02,16,1,F,38,Local,Tuesday
2024-01-02,15,1,F,18,Local,Tuesday
2024-01-02,12,1,F,21,Local,Tuesday
2024-01-02,11,1,F,39,Local,Tuesday
2024-01-02,16,1,M,48,Local,Tuesday
2024-01-02,10,1,F,66,Foreigner,Tuesday
2024-01-02,11,1,M,67,Local,Tuesday
2024-01-02,12,1,M,57,Local,Tuesday
2024-01-02,18,1,F,20,Local,Tuesday
2024-01-02,11,1,M,60,Local,Tuesday
2024-01-02,13,1,M,42,Local,Tuesday
2024-01-02,15,1,F,18,Local,Tuesday
2024-01-02,12,1,F,65,Local,Tuesday
2024-01-02,17,1,F,68,Foreigner,Tuesday
2024-01-02,14,1,M,23,Local,Tuesday
2024-01-02,16,1,M,33,Local,Tuesday
2024-01-02,18,1,F,65,Foreigner,Tuesday
2024-01-02,15,1,M,47,Local,Tuesday
2024-01-02,18,1,M,25,Foreigner,Tuesday
2024-01-02,10,1,M,65,Local,Tuesday
2024-01-02,13,1,M,53,Local,Tuesday
2024-01-02,16,1,M,56,Local,Tuesday
2024-01-02,17,1,M,22,Local,Tuesday
2024-01-02,13,1,F,60,Local,Tuesday
2024-01-02,14,1,F,47,Local,Tuesday
2024-01-02,10,1,F,34,Local,Tuesday
2024-01-02,13,1,M,41,Local,Tuesday
2024-01-02,14,1,M,46,Foreigner,Tuesday
2024-01-02,14,1,M,41,Local,Tuesday
2024-01-02,14,1,F,29,Local,Tuesday
2024-01-02,17,1,M,23,Local,Tuesday
2024-01-02,10,1,M,45,Local,Tuesday
2024-01-02,13,1,F,37,Local,Tuesday
2024-01-02,10,1,F,51,Local,Tuesday
2024-01-02,11,1,M,23,Local,Tuesday
2024-01-02,14,1,F,58,Foreigner,Tuesday
2024-01-02,11,1,F,23,Local,Tuesday
2024-01-02,17,1,M,33,Local,Tuesday
2024-01-02,16,1,F,49,Local,Tuesday
2024-01-02,14,1,M,37,Foreigner,Tuesday
2024-01-02,16,1,F,18,Foreigner,Tuesday
2024-01-02,17,1,F,53,Local,Tuesday
2024-01-02,12,1,F,58,Local,Tuesday
2024-01-02,14,1,M,19,Foreigner,Tuesday
2024-01-02,12,1,M,68,Local,Tuesday
2024-01-02,10,1,F,51,Local,Tuesday
2024-01-02,14,1,M,45,Foreigner,Tuesday
2024-01-02,15,1,M,34,Local,Tuesday
2024-01-02,13,1,F,45,Local,Tuesday
2024-01-02,15,1,F,59,Foreigner,Tuesday
2024-01-02,16,1,F,50,Foreigner,Tuesday
2024-01-02,17,1,F,60,Local,Tuesday
2024-01-02,13,1,M,26,Local,Tuesday
2024-01-02,18,1,M,31,Foreigner,Tuesday
2024-01-02,12,1,M,46,Local,Tuesday
2024-01-02,16,1,M,18,Local,Tuesday
2024-01-02,16,1,F,66,Local,Tuesday
2024-01-02,16,1,M,18,Local,Tuesday
2024-01-02,17,1,M,22,Local,Tuesday
2024-01-02,17,1,M,64,Local,Tuesday
2024-01-02,18,1,F,44,Local,Tuesday
2024-01-02,10,1,M,39,Local,Tuesday
2024-01-02,11,1,M,70,Foreigner,Tuesday
2024-01-02,10,1,M,55,Local,Tuesday
2024-01-02,14,1,M,27,Local,Tuesday
2024-01-02,11,1,M,47,Local,Tuesday
2024-01-02,14,1,F,20,Local,Tuesday
2024-01-02,18,1,F,22,Local,Tuesday
2024-01-02,10,1,M,65,Foreigner,Tuesday
2024-01-02,16,1,M,52,Local,Tuesday
2024-01-02,12,1,M,23,Local,Tuesday
2024-01-02,14,1,M,22,Local,Tuesday
2024-01-02,15,1,M,48,Local,Tuesday
2024-01-02,14,1,M,67,Local,Tuesday
2024-01-02,18,1,M,65,Local,Tuesday
2024-01-02,14,1,M,70,Foreigner,Tuesday
2024-01-02,10,1,F,50,Local,Tuesday
2024-01-02,14,1,F,21,Local,Tuesday
2024-01-02,18,1,M,63,Local,Tuesday
2024-01-02,11,1,F,22,Foreigner,Tuesday
2024-01-02,16,1,F,55,Local,Tuesday
2024-01-02,10,1,F,35,Local,Tuesday
2024-01-02,14,1,M,22,Foreigner,Tuesday
2024-01-02,15,1,M,66,Foreigner,Tuesday
2024-01-02,13,1,M,43,Local,Tuesday
2024-01-02,18,1,F,55,Local,Tuesday
2024-01-02,17,1,M,34,Foreigner,Tuesday
2024-01-02,18,1,M,31,Local,Tuesday
2024-01-02,10,1,M,37,Local,Tuesday
2024-01-02,18,1,M,60,Local,Tuesday
2024-01-02,12,1,F,21,Foreigner,Tuesday
2024-01-02,13,1,M,22,Local,Tuesday
2024-01-02,12,1,F,34,Local,Tuesday
2024-01-02,11,1,M,62,Local,Tuesday
2024-01-02,10,1,F,51,Local,Tuesday
2024-01-02,18,1,F,57,Local,Tuesday
2024-01-02,11,1,F,24,Foreigner,Tuesday
2024-01-02,16,1,F,32,Local,Tuesday
2024-01-02,16,1,F,36,Local,Tuesday
2024-01-02,16,1,M,59,Foreigner,Tuesday
2024-01-02,11,1,F,44,Local,Tuesday
2024-01-02,11,1,F,50,Local,Tuesday
2024-01-02,16,1,M,44,Local,Tuesday
2024-01-02,15,1,M,62,Local,Tuesday
2024-01-02,18,1,F,54,Local,Tuesday
2024-01-02,13,1,F,50,Local,Tuesday
2024-01-02,15,1,F,23,Local,Tuesday
2024-01-02,11,1,F,44,Local,Tuesday
2024-01-02,17,1,F,43,Local,Tuesday
2024-01-02,11,1,M,42,Local,Tuesday
2024-01-02,13,1,F,42,Local,Tuesday
2024-01-02,17,1,F,43,Local,Tuesday
2024-01-02,17,1,F,36,Local,Tuesday
2024-01-02,12,1,M,20,Foreigner,Tuesday
2024-01-02,14,1,F,50,Local,Tuesday
2024-01-02,17,1,M,58,Local,Tuesday
2024-01-02,16,1,M,46,Local,Tuesday
2024-01-02,10,1,M,26,Local,Tuesday
2024-01-02,12,1,M,36,Local,Tuesday
2024-01-02,17,1,F,29,Local,Tuesday
2024-01-02,13,1,F,62,Local,Tuesday
2024-01-02,13,1,M,39,Local,Tuesday
2024-01-02,15,1,M,59,Local,Tuesday
2024-01-02,16,1,M,36,Foreigner,Tuesday
2024-01-02,14,1,M,59,Local,Tuesday
2024-01-03,15,1,M,67,Local,Wednesday
2024-01-03,11,1,F,33,Foreigner,Wednesday
2024-01-03,18,1,F,26,Local,Wednesday
2024-01-03,13,1,M,27,Foreigner,Wednesday
2024-01-03,12,1,F,40,Foreigner,Wednesday
2024-01-03,14,1,F,41,Local,Wednesday
2024-01-03,18,1,M,70,Local,Wednesday
2024-01-03,16,1,F,59,Local,Wednesday
2024-01-03,18,1,M,35,Local,Wednesday
2024-01-03,14,1,M,19,Local,Wednesday
2024-01-03,13,1,F,45,Local,Wednesday
2024-01-03,18,1,F,54,Local,Wednesday
2024-01-03,17,1,F,47,Local,Wednesday
2024-01-03,16,1,F,43,Local,Wednesday
2024-01-03,14,1,M,23,Local,Wednesday
2024-01-03,15,1,F,40,Local,Wednesday
2024-01-03,14,1,M,19,Local,Wednesday
2024-01-03,14,1,F,37,Local,Wednesday
2024-01-03,18,1,F,48,Local,Wednesday
2024-01-03,18,1,F,42,Local,Wednesday
2024-01-03,18,1,M,31,Foreigner,Wednesday
2024-01-03,14,1,M,49,Local,Wednesday
2024-01-03,15,1,F,29,Local,Wednesday
2024-01-03,14,1,F,34,Local,Wednesday
2024-01-03,10,1,F,63,Local,Wednesday
2024-01-03,18,1,F,35,Local,Wednesday
2024-01-03,14,1,M,42,Local,Wednesday
2024-01-03,12,1,M,64,Local,Wednesday
2024-01-03,11,1,M,66,Foreigner,Wednesday
2024-01-03,16,1,F,62,Foreigner,Wednesday
2024-01-03,13,1,M,25,Foreigner,Wednesday
2024-01-03,15,1,F,54,Local,Wednesday
2024-01-03,17,1,F,47,Local,Wednesday
2024-01-03,12,1,M,55,Foreigner,Wednesday
2024-01-03,11,1,F,27,Local,Wednesday
2024-01-03,12,1,M,27,Local,Wednesday
